GeoHash,ident,type,name,latitude_deg,longitude_deg
4rkkkb2q2uh236e30x5gk,SCOH,small_airport,Villa O'Higgins Airport,-48.469212,-72.564316
4rktf1hwhypfzwprs0e6w,SCEY,small_airport,Entrada Mayer Airport,-48.201452,-72.32759
4rmsuvgnwg7bu3vjsygkn,AR-0723,small_airport,Estancia Silvina Airport,-48.35107,-70.80247
4rmudk4ujqdc0p432fpz8,AR-0722,small_airport,Casa Riera Airport,-48.40504,-70.56118
4rn1genh8p95xses5edtf,AR-0712,small_airport,Campamento Jorge Cepernic Airport,-50.30009,-70.15045
4rn3bf92uubu10uv0m0bp,AR-0154,small_airport,Estancia San Ramón Airport,-50.303495,-69.926057
4rncctu7yn0rjjtc0m4f4,AR-0687,small_airport,Monte León Landing Strip,-50.28512,-69.1858
4rndvn5tucn0bwdwhvrdj,AR-0720,small_airport,Chucuruc Aike Airport,-50.10765,-69.38463
4rngwftvkmf5g7w97t8bg,SA33,small_airport,Comandante Luis Piedrabuena Airport,-49.9951,-68.9531
4rntbmuxc4hqjcsvc9564,AR-0721,small_airport,Estancia La Julia Airport,-49.58133,-69.59216
4rp5rqy0ubd5uuqvwv8k3,SAWU,medium_airport,Santa Cruz Airport,-50.0165,-68.5792
4rpj57kfybntkgmt2sgjs,AR-0580,small_airport,Estancia Elena Airport,-49.727768,-68.756606
4rpmhdvy3q6wu1hkyrnf8,AR-0688,small_airport,Estancia Las Lagunas Airport,-49.72988,-68.34898
4rpz3pgwvp21f5n7tqg9z,SAWJ,medium_airport,Capitan D Daniel Vazquez Airport,-49.306816,-67.802596
4rq47xq3f7p33r1zhett6,SAWR,small_airport,Gobernador Gregores Airport,-48.7831,-70.150002
4rrfg42cs6enhq9fr2jup,AR-0689,small_airport,El Salado Airport,-48.72272,-67.71851
4rrsf1v7hm01kcy4b8ucu,AR-0677,small_airport,Cerro Vanguardia Airstrip,-48.373634,-68.107842
4rryhkx5fsp0kyp769udd,AR-0611,small_airport,Tres Cerros Airport,-48.138678,-67.655065
4rs0c0pq9qs4re7eg32ju,SCVS,small_airport,Lago Vargas Airport,-47.679513,-73.071039
4rs1uqjzhb3t57djhp76g,SCND,small_airport,Ñadis Airport,-47.47072,-72.93013
4rs7hpwfjs267gyxpkey2,SCHR,medium_airport,Cochrane Airport,-47.243591,-72.58815
4rs7ywspz940n1hs9jsj0,SCAL,small_airport,Valchac Airport,-47.116279,-72.481975
4rscrsbsby4cgppbxybex,AR-0497,small_airport,Hipólito Yrigoyen Lago Posadas Airport,-47.565833,-71.74
4rsd6ks1bjjuk16um6t98,SCBR,small_airport,Lago Brown Airport,-47.391945,-72.317497
4rsfd1rm1bbq9b586nbss,AR-0673,small_airport,Estancia Suyai - Lago Pueyrredon Airstrip,-47.365317,-71.97239
4rsgd4ks71byr3z6m877m,SCEB,small_airport,Entrada Baker Airport,-47.184166,-71.976112
4rsjyyx6cu920p1utg95e,SCLO,small_airport,Leones Airport,-46.765556,-72.818336
4rsjz3x7wfpg15zcpv3nq,SCHH,small_airport,Punta Baja Airport,-46.792906,-72.79614
4rsqjd5hqyz62ht49y33w,CL-0032,small_airport,Meseta Cosmelli Airport,-46.74606,-72.527319
4rsquq0e3hy1pt8p3v4mc,SCSZ,small_airport,Puerto Sanchéz Airport,-46.592434,-72.585932
4rsrdpn2p4zu247cn8h62,SCRU,small_airport,Río Murta Airport,-46.455673,-72.676653
4rsxhw5ujzzy4r9h9h7fz,SCFC,small_airport,Fachinal Airport,-46.548343,-72.218714
4rtnbxz9g8g2dm53wyxpp,SCCC,medium_airport,Chile Chico Airport,-46.5831,-71.686323
4rtp4kqu9qp5z4jt8cvdg,AR-0758,small_airport,Lago Buenos Aires (Los Antiguos) Airfield,-46.55788,-71.61054
